group_label	length	rdensity	m	ravg	qdensity	n	qavg
g01	1000000	0.005	50	100	0.005	500	10
g02	1000000	0.005	50	100	0.05	5000	10
g03	1000000	0.005	50	100	0.5	50000	10
g04	1000000	0.005	50	100	0.005	50	100
g05	1000000	0.005	50	100	0.05	500	100
g06	1000000	0.005	50	100	0.5	5000	100
g07	1000000	0.005	50	100	0.005	5	1000
g08	1000000	0.005	50	100	0.05	50	1000
g09	1000000	0.005	50	100	0.5	500	1000
g10	1000000	0.05	500	100	0.005	500	10
g11	1000000	0.05	500	100	0.05	5000	10
g12	1000000	0.05	500	100	0.5	50000	10
g13	1000000	0.05	500	100	0.005	50	100
g14	1000000	0.05	500	100	0.05	500	100
g15	1000000	0.05	500	100	0.5	5000	100
g16	1000000	0.05	500	100	0.005	5	1000
g17	1000000	0.05	500	100	0.05	50	1000
g18	1000000	0.05	500	100	0.5	500	1000
g19	1000000	0.25	2500	100	0.005	500	10
g20	1000000	0.25	2500	100	0.05	5000	10
g21	1000000	0.25	2500	100	0.5	50000	10
g22	1000000	0.25	2500	100	0.005	50	100
g23	1000000	0.25	2500	100	0.05	500	100
g24	1000000	0.25	2500	100	0.5	5000	100
g25	1000000	0.25	2500	100	0.005	5	1000
g26	1000000	0.25	2500	100	0.05	50	1000
g27	1000000	0.25	2500	100	0.5	500	1000
