label	method	mean
g01_0	direct_eigen	-0.014861250764219402
g01_0	dp/10	-0.23529829045775985
g01_0	dp/100	-0.2257910620696748
g01_0	dp/1000	17.208725381817878
g01_1	direct_eigen	0.00993874923578808
g01_1	dp/10	-0.21049829045775947
g01_1	dp/100	-0.1935005086097168
g01_1	dp/1000	17.393016244192598
g01_2	direct_eigen	0.020238749235784503
g01_2	dp/10	-0.2001982904577595
g01_2	dp/100	-0.19020905585337955
g01_2	dp/1000	17.086849878588147
g01_3	direct_eigen	0.0023387492357858086
g01_3	dp/10	-0.21809829045775908
g01_3	dp/100	-0.20207009310036472
g01_3	dp/1000	17.21011356679839
g01_4	direct_eigen	0.021438749235787924
g01_4	dp/10	-0.19899829045775963
g01_4	dp/100	-0.16933251072928046
g01_4	dp/1000	17.324450232401315
g01_5	direct_eigen	-0.018761250764212978
g01_5	dp/10	-0.23919829045776053
g01_5	dp/100	-0.23473909130179393
g01_5	dp/1000	17.063437424603073
g01_6	direct_eigen	-0.007361250764212013
g01_6	dp/10	-0.22779829045775957
g01_6	dp/100	-0.22069859493256194
g01_6	dp/1000	17.137425182288386
g01_7	direct_eigen	-0.009361250764211793
g01_7	dp/10	-0.22979829045775935
g01_7	dp/100	-0.22390065442764673
g01_7	dp/1000	17.01063880329372
g01_8	direct_eigen	0.005738749235788543
g01_8	dp/10	-0.21469829045775946
g01_8	dp/100	-0.20567386625349204
g01_8	dp/1000	17.166235350545467
g01_9	direct_eigen	-0.009661250764215978
g01_9	dp/10	-0.23009829045776087
g01_9	dp/100	-0.20848718766019214
g01_9	dp/1000	17.103781729034804
g02_0	direct_eigen	0.05189226541445535
g02_0	dp/10	-1.713036639235014
g02_0	dp/100	-1.2867744920010153
g02_0	dp/1000	27.974343000000005
g02_1	direct_eigen	-0.004407734585551992
g02_1	dp/10	-1.7693366392350214
g02_1	dp/100	-1.3648835063069633
g02_1	dp/1000	27.927946
g02_2	direct_eigen	-0.01800773458555227
g02_2	dp/10	-1.7829366392350146
g02_2	dp/100	-1.4136166120286298
g02_2	dp/1000	27.914346000000005
g02_3	direct_eigen	0.021492265414455147
g02_3	dp/10	-1.7434366392350142
g02_3	dp/100	-1.3958032577974038
g02_3	dp/1000	27.854996
g02_4	direct_eigen	0.0016922654144408966
g02_4	dp/10	-1.7632366392350285
g02_4	dp/100	-1.3520807771157308
g02_4	dp/1000	27.973695999999986
g02_5	direct_eigen	-0.016307734585545575
g02_5	dp/10	-1.781236639235015
g02_5	dp/100	-1.3633691360028806
g02_5	dp/1000	27.856690000000004
g02_6	direct_eigen	0.041392265414454954
g02_6	dp/10	-1.7235366392350144
g02_6	dp/100	-1.335826985243358
g02_6	dp/1000	27.914390000000004
g02_7	direct_eigen	0.006892265414453647
g02_7	dp/10	-1.7580366392350122
g02_7	dp/100	-1.3703269852433557
g02_7	dp/1000	27.909551000000004
g02_8	direct_eigen	0.04209226541446398
g02_8	dp/10	-1.7228366392350232
g02_8	dp/100	-1.3418184714435597
g02_8	dp/1000	27.964542999999995
g02_9	direct_eigen	-0.031307734585521274
g02_9	dp/10	-1.7962366392350155
g02_9	dp/100	-1.420234820961241
g02_9	dp/1000	27.851572
g03_0	direct_eigen	0.00016220033663216782
g03_0	dp/10	-49.9991
g03_0	dp/100	-0.001100000000000989
g03_0	dp/1000	0.0009000000000014552
g03_1	direct_eigen	0.00016220033663216782
g03_1	dp/10	-49.9991
g03_1	dp/100	-0.0020999999999986585
g03_1	dp/1000	0.0009000000000014552
g03_2	direct_eigen	0.00036220033660328
g03_2	dp/10	-49.9989
g03_2	dp/100	0.00010000000000331966
g03_2	dp/1000	0.001100000000000989
g03_3	direct_eigen	-0.0003377996633986413
g03_3	dp/10	-49.9996
g03_3	dp/100	-0.002600000000001046
g03_3	dp/1000	0.00039999999999906777
g03_4	direct_eigen	-0.00013779966337068572
g03_4	dp/10	-49.9994
g03_4	dp/100	-0.0014000000000038426
g03_4	dp/1000	0.0005999999999986017
g03_5	direct_eigen	-3.7799663367366065e-05
g03_5	dp/10	-49.9993
g03_5	dp/100	-0.001300000000000523
g03_5	dp/1000	0.0007000000000019213
g03_6	direct_eigen	-0.00013779966337068572
g03_6	dp/10	-49.9994
g03_6	dp/100	-0.0033999999999991815
g03_6	dp/1000	0.0005999999999986017
g03_7	direct_eigen	6.220033662884816e-05
g03_7	dp/10	-49.9992
g03_7	dp/100	-0.0012000000000043087
g03_7	dp/1000	0.0007999999999981355
g03_8	direct_eigen	0.00036220033660328
g03_8	dp/10	-49.9989
g03_8	dp/100	0.001100000000000989
g03_8	dp/1000	0.001100000000000989
g03_9	direct_eigen	0.00046220033663502136
g03_9	dp/10	-49.998799999999996
g03_9	dp/100	0.0012000000000043087
g03_9	dp/1000	0.0012000000000043087
g04_0	direct_eigen	-0.006407936838397188
g04_0	dp/10	-0.02881099668122622
g04_0	dp/100	-0.2533000158304175
g04_0	dp/1000	1.996700621576135
g04_1	direct_eigen	-7.936838397171186e-06
g04_1	dp/10	-0.022410940011280522
g04_1	dp/100	-0.2469000158304174
g04_1	dp/1000	1.9613119327128037
g04_2	direct_eigen	-0.00440793683839702
g04_2	dp/10	-0.026810884798386336
g04_2	dp/100	-0.2513000158304173
g04_2	dp/1000	1.9472800889616437
g04_3	direct_eigen	0.005992063161602779
g04_3	dp/10	-0.01641041751013128
g04_3	dp/100	-0.2409000158304175
g04_3	dp/1000	2.0091006215761347
g04_4	direct_eigen	0.006292063161602857
g04_4	dp/10	-0.01611088479838646
g04_4	dp/100	-0.24060001583041737
g04_4	dp/1000	1.9821988313999304
g04_5	direct_eigen	-0.0007079368383972051
g04_5	dp/10	-0.02311088479838641
g04_5	dp/100	-0.24760001583041732
g04_5	dp/1000	1.985021251587236
g04_6	direct_eigen	0.0022920631616026865
g04_6	dp/10	-0.020110855804119088
g04_6	dp/100	-0.24460001583041743
g04_6	dp/1000	1.9660291724069343
g04_7	direct_eigen	-0.004007936838396953
g04_7	dp/10	-0.026410417510130957
g04_7	dp/100	-0.2509000158304172
g04_7	dp/1000	1.9597291724069348
g04_8	direct_eigen	0.0010920631616028187
g04_8	dp/10	-0.021310884798386553
g04_8	dp/100	-0.24580001583041747
g04_8	dp/1000	2.004200621576135
g04_9	direct_eigen	0.008592063161602825
g04_9	dp/10	-0.013810884798386547
g04_9	dp/100	-0.23830001583041746
g04_9	dp/1000	1.9771829407463577
g05_0	direct_eigen	0.029048527363256582
g05_0	dp/10	-0.19077756470486218
g05_0	dp/100	-2.383200737791455
g05_0	dp/1000	15.475106531172333
g05_1	direct_eigen	0.01614852736325645
g05_1	dp/10	-0.20367716102486266
g05_1	dp/100	-2.3961007377914543
g05_1	dp/1000	15.57891857052693
g05_2	direct_eigen	0.018548519034552235
g05_2	dp/10	-0.20127822928700567
g05_2	dp/100	-2.393700737791457
g05_2	dp/1000	15.547838852416058
g05_3	direct_eigen	-0.03415147263669738
g05_3	dp/10	-0.2539765846460309
g05_3	dp/100	-2.446400737791458
g05_3	dp/1000	15.46176367544313
g05_4	direct_eigen	0.016448527363205123
g05_4	dp/10	-0.20337738957982854
g05_4	dp/100	-2.395800737791456
g05_4	dp/1000	15.54573885241606
g05_5	direct_eigen	-0.017551472636692544
g05_5	dp/10	-0.23737822928700503
g05_5	dp/100	-2.4298007377914566
g05_5	dp/1000	15.748446009760503
g05_6	direct_eigen	-0.026251472636692696
g05_6	dp/10	-0.24607822928700518
g05_6	dp/100	-2.4385007377914567
g05_6	dp/1000	15.436398762979454
g05_7	direct_eigen	-0.012351472636694005
g05_7	dp/10	-0.2321782292870056
g05_7	dp/100	-2.424600737791457
g05_7	dp/1000	15.634610363016805
g05_8	direct_eigen	-0.013151472636691253
g05_8	dp/10	-0.23297823928700545
g05_8	dp/100	-2.425400737791457
g05_8	dp/1000	15.466117287078632
g05_9	direct_eigen	0.005848527363256473
g05_9	dp/10	-0.2139758142738124
g05_9	dp/100	-2.406400737791456
g05_9	dp/1000	15.551862051716183
g06_0	direct_eigen	-0.036013211533877154
g06_0	dp/10	-1.3931144603999996
g06_0	dp/100	-15.792799830812822
g06_0	dp/1000	9.207199999999993
g06_1	direct_eigen	-0.014713211533646131
g06_1	dp/10	-1.3718151762300081
g06_1	dp/100	-15.771499830812818
g06_1	dp/1000	9.228499999999997
g06_2	direct_eigen	-0.037713211533876745
g06_2	dp/10	-1.3948157975200033
