label	method	kl
g01_0	direct_eigen	0.0005034127460798484
g01_0	dp/10	0.012090606823022522
g01_0	dp/100	0.011145104290500415
g01_0	dp/1000	598.6936928716767
g01_1	direct_eigen	0.0002326514391096534
g01_1	dp/10	0.009536136659015038
g01_1	dp/100	0.008057102474617326
g01_1	dp/1000	605.1499684005828
g01_2	direct_eigen	0.0005804587328085728
g01_2	dp/10	0.008946364754282782
g01_2	dp/100	0.008105330021969483
g01_2	dp/1000	603.5428562402296
g01_3	direct_eigen	0.0006982813570265221
g01_3	dp/10	0.010719243289094418
g01_3	dp/100	0.009268513917106603
g01_3	dp/1000	602.9613472986048
g01_4	direct_eigen	0.00039011005997823385
g01_4	dp/10	0.008604688273862092
g01_4	dp/100	0.006256636139164728
g01_4	dp/1000	606.1075624789734
g01_5	direct_eigen	0.0005820360083329431
g01_5	dp/10	0.012449944997536164
g01_5	dp/100	0.011993667081033327
g01_5	dp/1000	603.2082457139347
g01_6	direct_eigen	0.00029220794045679475
g01_6	dp/10	0.011187737419633186
g01_6	dp/100	0.01050066741840012
g01_6	dp/1000	602.1434801008528
g01_7	direct_eigen	0.0005544867317702222
g01_7	dp/10	0.011561811506801559
g01_7	dp/100	0.010984313598819987
g01_7	dp/1000	604.834393675506
g01_8	direct_eigen	0.0008740104873634496
g01_8	dp/10	0.010582534379929396
g01_8	dp/100	0.009764210435959151
g01_8	dp/1000	603.1643309095116
g01_9	direct_eigen	0.0005171436918045766
g01_9	dp/10	0.011565293205389371
g01_9	dp/100	0.009525580972781288
g01_9	dp/1000	602.8312430776406
g02_0	direct_eigen	0.0015072508815525136
g02_0	dp/10	0.12294733483177243
g02_0	dp/100	0.06969954263413154
g02_0	dp/1000	688.1120764201122
g02_1	direct_eigen	0.001774401851443748
g02_1	dp/10	0.13141415324268896
g02_1	dp/100	0.078620172514456
g02_1	dp/1000	688.1118172991843
g02_2	direct_eigen	0.0018241889755560262
g02_2	dp/10	0.13347136613626437
g02_2	dp/100	0.0842941669460507
g02_2	dp/1000	688.1054093507788
g02_3	direct_eigen	0.001084392158749492
g02_3	dp/10	0.12694243871087962
g02_3	dp/100	0.08147487614482476
g02_3	dp/1000	688.113635266929
g02_4	direct_eigen	0.001404767161464786
g02_4	dp/10	0.13021181447326183
g02_4	dp/100	0.07687056225163232
g02_4	dp/1000	688.0982344988179
g02_5	direct_eigen	0.0014461281575424835
g02_5	dp/10	0.13287082263795189
g02_5	dp/100	0.07815170634096642
g02_5	dp/1000	688.0987852273544
g02_6	direct_eigen	0.0015791164140176702
g02_6	dp/10	0.124590212351851
g02_6	dp/100	0.07518525165809752
g02_6	dp/1000	688.1014843336127
g02_7	direct_eigen	0.0010254676282512162
g02_7	dp/10	0.1290135700031629
g02_7	dp/100	0.07849374606993693
g02_7	dp/1000	688.1127958164237
g02_8	direct_eigen	0.0026993058973007345
g02_8	dp/10	0.1255968626887323
g02_8	dp/100	0.07695879984998089
g02_8	dp/1000	688.1055238670031
g02_9	direct_eigen	0.0018035168540917375
g02_9	dp/10	0.13539768725571796
g02_9	dp/100	0.08502132016508245
g02_9	dp/1000	688.102890677566
g03_0	direct_eigen	1.704713828585777e-05
g03_0	dp/10	690.76831649912
g03_0	dp/100	0.0003818484118255403
g03_0	dp/1000	0.6144865760147793
g03_1	direct_eigen	1.704713828585777e-05
g03_1	dp/10	690.76831649912
g03_1	dp/100	0.0010174300478115869
g03_1	dp/1000	0.6144865760147793
g03_2	direct_eigen	7.772653860797552e-05
g03_2	dp/10	690.7669348138265
g03_2	dp/100	4.846202956769447e-06
g03_2	dp/1000	0.751259996300888
g03_3	direct_eigen	9.29961036329576e-05
g03_3	dp/10	690.77199835982
g03_3	dp/100	0.0017952190012657664
g03_3	dp/1000	0.2727806727655817
g03_4	direct_eigen	1.3930685508318483e-05
g03_4	dp/10	690.770476929708
g03_4	dp/100	0.0006781967203820946
g03_4	dp/1000	0.40941434823332085
g03_5	direct_eigen	1.2254392087124996e-06
g03_5	dp/10	690.7697430421148
g03_5	dp/100	0.000565669886971124
g03_5	dp/1000	0.47775801342991486
g03_6	direct_eigen	1.3930685508318483e-05
g03_6	dp/10	690.770476929708
g03_6	dp/100	0.0022633068713979005
g03_6	dp/1000	0.40941434823332085
g03_7	direct_eigen	2.864906117286338e-06
g03_7	dp/10	690.7690234992348
g03_7	dp/100	0.00046748776676833355
g03_7	dp/1000	0.546116023339717
g03_8	direct_eigen	7.772653944266726e-05
g03_8	dp/10	690.7669348138265
g03_8	dp/100	0.751259996300888
g03_8	dp/1000	0.751259996300888
g03_9	direct_eigen	0.00012219309421493115
g03_9	dp/10	690.7662580980352
