label	reference	query	chr_sizes
CGD-dom.all.intron.tsv!inclusive.gain	data/CGD-dom.all.intron.tsv	data/inclusive.gain.tsv	data/hg19_chrom_sizes.txt
No-phen.lex-smallest.trans.tsv!inclusive.gain	data/No-phen.lex-smallest.trans.tsv	data/inclusive.gain.tsv	data/hg19_chrom_sizes.txt
OMIM.lex-smallest.trans.tsv!inclusive.gain	data/OMIM.lex-smallest.trans.tsv	data/inclusive.gain.tsv	data/hg19_chrom_sizes.txt
GI1.all.intron.tsv!inclusive.gain	data/GI1.all.intron.tsv	data/inclusive.gain.tsv	data/hg19_chrom_sizes.txt
Decipher-loss.all.intron.tsv!inclusive.gain	data/Decipher-loss.all.intron.tsv	data/inclusive.gain.tsv	data/hg19_chrom_sizes.txt
CGD-rec.lex-smallest.trans.tsv!inclusive.gain	data/CGD-rec.lex-smallest.trans.tsv	data/inclusive.gain.tsv	data/hg19_chrom_sizes.txt
Essential.lex-smallest.exon.tsv!inclusive.gain	data/Essential.lex-smallest.exon.tsv	data/inclusive.gain.tsv	data/hg19_chrom_sizes.txt
Non-cod.lex-smallest.exon.tsv!inclusive.gain	data/Non-cod.lex-smallest.exon.tsv	data/inclusive.gain.tsv	data/hg19_chrom_sizes.txt
phen.lex-smallest.intron.tsv!inclusive.gain	data/phen.lex-smallest.intron.tsv	data/inclusive.gain.tsv	data/hg19_chrom_sizes.txt
Curated-gain.lex-smallest.intron.tsv!inclusive.gain	data/Curated-gain.lex-smallest.intron.tsv	data/inclusive.gain.tsv	data/hg19_chrom_sizes.txt
Cancer-gain.lex-smallest.trans.tsv!inclusive.gain	data/Cancer-gain.lex-smallest.trans.tsv	data/inclusive.gain.tsv	data/hg19_chrom_sizes.txt
HPO-rec.all.intron.tsv!inclusive.gain	data/HPO-rec.all.intron.tsv	data/inclusive.gain.tsv	data/hg19_chrom_sizes.txt
Paralogs.all.trans.tsv!inclusive.gain	data/Paralogs.all.trans.tsv	data/inclusive.gain.tsv	data/hg19_chrom_sizes.txt
Non-cod.all.trans.tsv!inclusive.gain	data/Non-cod.all.trans.tsv	data/inclusive.gain.tsv	data/hg19_chrom_sizes.txt
OMIM.lex-smallest.cds.tsv!inclusive.gain	data/OMIM.lex-smallest.cds.tsv	data/inclusive.gain.tsv	data/hg19_chrom_sizes.txt
GI2.lex-smallest.trans.tsv!inclusive.gain	data/GI2.lex-smallest.trans.tsv	data/inclusive.gain.tsv	data/hg19_chrom_sizes.txt
No-phen.lex-smallest.intron.tsv!inclusive.gain	data/No-phen.lex-smallest.intron.tsv	data/inclusive.gain.tsv	data/hg19_chrom_sizes.txt
CGD-rec.all.cds.tsv!inclusive.gain	data/CGD-rec.all.cds.tsv	data/inclusive.gain.tsv	data/hg19_chrom_sizes.txt
GI2.all.exon.tsv!inclusive.gain	data/GI2.all.exon.tsv	data/inclusive.gain.tsv	data/hg19_chrom_sizes.txt
Decipher-loss.all.trans.tsv!inclusive.gain	data/Decipher-loss.all.trans.tsv	data/inclusive.gain.tsv	data/hg19_chrom_sizes.txt
GI3.lex-smallest.trans.tsv!inclusive.gain	data/GI3.lex-smallest.trans.tsv	data/inclusive.gain.tsv	data/hg19_chrom_sizes.txt
Cancer-gain.lex-smallest.intron.tsv!inclusive.gain	data/Cancer-gain.lex-smallest.intron.tsv	data/inclusive.gain.tsv	data/hg19_chrom_sizes.txt
HI3.lex-smallest.intron.tsv!inclusive.gain	data/HI3.lex-smallest.intron.tsv	data/inclusive.gain.tsv	data/hg19_chrom_sizes.txt
