k	pvalue
0	1.0000000006097938
1	1.0000000006097938
2	1.0000000006097938
3	1.0000000006097938
4	1.0000000006097938
5	1.0000000006097938
6	1.0000000006097938
7	1.0000000006097938
8	1.0000000006097938
9	1.0000000006097938
10	1.0000000006097938
11	1.0000000006097938
12	1.0000000006097938
13	1.0000000006097938
14	1.0000000006097938
15	1.0000000006097938
16	1.0000000006097938
17	1.0000000006097938
18	1.0000000006097938
19	1.0000000006097938
20	1.0000000006097938
21	1.0000000006097938
22	1.0000000006097938
23	1.0000000006097938
24	1.0000000006097938
25	1.0000000006097938
26	1.0000000006097938
27	1.0000000006097938
28	1.0000000006097938
29	1.0000000006097938
30	1.0000000006097938
31	1.0000000006097938
32	1.0000000006097938
33	1.0000000006097938
34	1.0000000006097938
35	1.0000000006097938
36	1.0000000006097938
37	1.0000000006097938
38	1.0000000006097938
39	1.0000000006097938
40	1.0000000006097938
41	1.0000000006097938
42	1.0000000006097938
43	1.0000000006097938
44	1.0000000006097938
45	1.0000000006097938
46	1.0000000006097938
47	1.0000000006097938
48	1.0000000006097938
49	1.0000000006097938
50	1.0000000006097938
51	1.0000000006097938
52	1.0000000006097938
53	1.0000000006097938
54	1.0000000006097938
55	1.0000000006097938
56	1.0000000006097938
57	1.0000000006097938
58	1.0000000006097938
59	1.0000000006097938
60	1.0000000006097938
61	1.0000000006097938
62	1.0000000006097938
63	1.0000000006097938
64	1.0000000006097938
65	1.0000000006097938
66	1.0000000006097938
67	1.0000000006097938
68	1.0000000006097938
69	1.0000000006097938
70	1.0000000006097938
71	1.0000000006097938
72	1.0000000006097938
73	1.0000000006097938
74	1.0000000006097938
75	1.0000000006097938
76	1.0000000006097938
77	1.0000000006097938
78	1.0000000006097938
79	1.0000000006097938
80	1.0000000006097938
81	1.0000000006097938
82	1.0000000006097938
83	1.0000000006097938
84	1.0000000006097938
85	1.0000000006097938
86	1.0000000006097938
87	1.0000000006097938
88	1.0000000006097938
89	1.0000000006097938
90	1.0000000006097938
91	1.0000000006097938
92	1.0000000006097938
93	1.0000000006097938
94	1.0000000006097938
95	1.0000000006097938
96	1.0000000006097938
97	1.0000000006097938
98	1.0000000006097938
99	1.0000000006097938
100	1.0000000006097938
101	1.0000000006097938
102	1.0000000006097938
103	1.0000000006097938
104	1.0000000006097938
105	1.0000000006097938
106	1.0000000006097938
107	1.0000000006097938
108	1.0000000006097938
109	1.0000000006097938
110	1.0000000006097938
111	1.0000000006097938
112	1.0000000006097938
113	1.0000000006097938
114	1.0000000006097938
115	1.0000000006097938
116	1.0000000006097938
117	1.0000000006097938
118	1.0000000006097938
119	1.0000000006097938
120	1.0000000006097938
121	1.0000000006097938
122	1.0000000006097938
123	1.0000000006097935
124	1.0000000006097933
125	1.0000000006097924
126	1.0000000006097909
127	1.0000000006097869
128	1.0000000006097784
129	1.0000000006097594
130	1.0000000006097183
131	1.00000000060963
132	1.0000000006094423
133	1.0000000006090493
134	1.0000000006082357
135	1.000000000606571
136	1.0000000006032057
137	1.0000000005964818
138	1.000000000583205
139	1.0000000005572929
140	1.0000000005073044
141	1.0000000004119758
142	1.0000000002322562
143	0.9999999998972818
144	0.999999999279976
145	0.9999999981551384
146	0.9999999961283585
147	0.9999999925169426
148	0.9999999861529612
149	0.9999999750615518
150	0.9999999559420503
151	0.9999999233415986
152	0.9999998683555203
153	0.9999997766092404
154	0.9999996251642402
155	0.9999993778346881
156	0.9999989781889517
157	0.9999983392260485
158	0.9999973283445144
159	0.9999957457429112
160	0.9999932937911786
161	0.9999895341779446
162	0.9999838287657159
163	0.9999752590803831
164	0.9999625182477391
165	0.9999437680151078
166	0.9999164523375728
167	0.9998770579775269
168	0.9998208118139672
169	0.9997413042742781
170	0.9996300287121952
171	0.9994758279134877
172	0.9992642414775456
173	0.9989767518455863
174	0.9985899324248106
175	0.9980745087073685
176	0.9973943524904962
177	0.996505440086737
178	0.9953548173809613
179	0.9938796271222856
180	0.9920062660737055
181	0.989649750499757
182	0.9867133766997356
183	0.9830887675452196
184	0.9786563949281744
185	0.9732866604960244
186	0.9668416021743591
187	0.959177271345505
188	0.9501467953444603
189	0.9396041030284084
190	0.9274082491872457
191	0.91342822882132
192	0.8975481277641139
193	0.8796724151498967
194	0.8597311493771634
195	0.8376848459295904
196	0.8135287456602336
197	0.787296228111073
198	0.7590611372526396
199	0.7289388265427892
200	0.6970857849111858
201	0.6636977723355102
202	0.6290064690766236
203	0.5932747214908854
204	0.5567905442517418
205	0.5198601083586553
206	0.48280000148415314
207	0.445929087870199
208	0.4095603162261576
209	0.3739928244797851
210	0.3395046699656747
211	0.3063464744409889
212	0.27473621831869
213	0.24485535190971144
214	0.2168463181680325
215	0.1908115065965053
216	0.16681358658032774
217	0.14487710488222583
218	0.12499117988356896
219	0.10711308681039544
220	0.0911725048606871
221	0.07707618887752135
222	0.06471283394667898
223	0.05395791911488575
224	0.04467834377765913
225	0.03673670427296447
226	0.029995095855064494
227	0.024318363686555634
228	0.019576763301760055
229	0.01564802417497398
230	0.012418838147915832
231	0.009785816685047572
232	0.007655976929467931
233	0.005946826492298805
234	0.004586121363569456
235	0.003511371083380348
236	0.0026691613116990136
237	0.0020143571886654024
238	0.0015092423582329048
239	0.0011226391146311665
240	0.000829045564484322
241	0.0006078165592239788
242	0.0004424068608597365
