k	pvalue
0	1.000000004370685
1	1.000000004370685
2	1.000000004370685
3	1.000000004370685
4	1.000000004370685
5	1.000000004370685
6	1.000000004370685
7	1.000000004370685
8	1.000000004370685
9	1.000000004370685
10	1.000000004370685
11	1.000000004370685
12	1.000000004370685
13	1.000000004370685
14	1.000000004370685
15	1.000000004370685
16	1.000000004370685
17	1.000000004370685
18	1.000000004370685
19	1.000000004370685
20	1.000000004370685
21	1.000000004370685
22	1.000000004370685
23	1.000000004370685
24	1.000000004370685
25	1.000000004370685
26	1.000000004370685
27	1.000000004370685
28	1.000000004370685
29	1.000000004370685
30	1.000000004370685
31	1.000000004370685
32	1.000000004370685
33	1.000000004370685
34	1.000000004370685
35	1.000000004370685
36	1.000000004370685
37	1.000000004370685
38	1.000000004370685
39	1.000000004370685
40	1.000000004370685
41	1.000000004370685
42	1.000000004370685
43	1.000000004370685
44	1.000000004370685
45	1.000000004370685
46	1.000000004370685
47	1.000000004370685
48	1.000000004370685
49	1.000000004370685
50	1.000000004370685
51	1.000000004370685
52	1.000000004370685
53	1.000000004370685
54	1.000000004370685
55	1.000000004370685
56	1.000000004370685
57	1.000000004370685
58	1.000000004370685
59	1.000000004370685
60	1.000000004370685
61	1.000000004370685
62	1.000000004370685
63	1.000000004370685
64	1.000000004370685
65	1.000000004370685
66	1.000000004370685
67	1.000000004370685
68	1.000000004370685
69	1.000000004370685
70	1.000000004370685
71	1.000000004370685
72	1.000000004370685
73	1.000000004370685
74	1.000000004370685
75	1.000000004370685
76	1.000000004370685
77	1.000000004370685
78	1.000000004370685
79	1.000000004370685
80	1.000000004370685
81	1.000000004370685
82	1.000000004370685
83	1.000000004370685
84	1.000000004370685
85	1.000000004370685
86	1.000000004370685
87	1.000000004370685
88	1.000000004370685
89	1.000000004370685
90	1.000000004370685
91	1.000000004370685
92	1.000000004370685
93	1.000000004370685
94	1.000000004370685
95	1.000000004370685
96	1.000000004370685
97	1.000000004370685
98	1.000000004370685
99	1.000000004370685
100	1.000000004370685
101	1.000000004370685
102	1.000000004370685
103	1.000000004370685
104	1.000000004370685
105	1.000000004370685
106	1.000000004370685
107	1.000000004370685
108	1.000000004370685
109	1.000000004370685
110	1.000000004370685
111	1.000000004370685
112	1.000000004370685
113	1.000000004370685
114	1.000000004370685
115	1.000000004370685
116	1.000000004370685
117	1.000000004370685
118	1.000000004370685
119	1.000000004370685
120	1.000000004370685
121	1.000000004370685
122	1.000000004370685
123	1.000000004370685
124	1.000000004370685
125	1.000000004370685
126	1.000000004370685
127	1.000000004370685
128	1.000000004370685
129	1.000000004370685
130	1.000000004370685
131	1.000000004370685
132	1.000000004370685
133	1.000000004370685
134	1.000000004370685
135	1.000000004370685
136	1.000000004370685
137	1.000000004370685
138	1.000000004370685
139	1.000000004370685
140	1.000000004370685
141	1.000000004370685
142	1.000000004370685
143	1.000000004370685
144	1.000000004370685
145	1.000000004370685
146	1.000000004370685
147	1.000000004370685
148	1.000000004370685
149	1.000000004370685
150	1.000000004370685
151	1.000000004370685
152	1.000000004370685
153	1.000000004370685
154	1.000000004370685
155	1.000000004370685
156	1.000000004370685
157	1.000000004370685
158	1.000000004370685
159	1.000000004370685
160	1.000000004370685
161	1.000000004370685
162	1.000000004370685
163	1.000000004370685
164	1.000000004370685
165	1.000000004370685
166	1.000000004370685
167	1.000000004370685
168	1.000000004370685
169	1.000000004370685
170	1.000000004370685
171	1.000000004370685
172	1.000000004370685
173	1.000000004370685
174	1.000000004370685
175	1.000000004370685
176	1.000000004370685
177	1.000000004370685
178	1.000000004370685
179	1.000000004370685
180	1.000000004370685
181	1.000000004370685
182	1.000000004370685
183	1.000000004370685
184	1.000000004370685
185	1.000000004370685
186	1.000000004370685
187	1.000000004370685
188	1.000000004370685
189	1.000000004370685
190	1.000000004370685
191	1.000000004370685
192	1.000000004370685
193	1.000000004370685
194	1.000000004370685
195	1.000000004370685
196	1.000000004370685
197	1.000000004370685
198	1.000000004370685
199	1.000000004370685
200	1.000000004370685
201	1.000000004370685
