label	ref_count	ref_count_raw	ref_avg_int	ref_avg_gap	ref_coverage	query_count	query_count_raw	query_avg_int	query_avg_gap	query_coverage	overlaps_count
CGD-rec.all.cds!inclusive.gain	1495	4959	61454.360535117055	2007889.8014705882	0.029678243813086296	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	133
Prot-cod.lex-smallest.exon!inclusive.gain	184405	190742	341.7508202055259	16445.543268657202	0.02035759919806528	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	7281
OMIM.lex-smallest.exon!inclusive.gain	41531	41991	305.7608292600708	74231.40852836367	0.004102027217298441	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	1362
All-genes.lex-smallest.trans!inclusive.gain	18932	21864	52581.293735474326	110928.45080019014	0.3215674375957878	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	1934
Decipher-gain.all.exon!inclusive.gain	116	459	406.5948275862069	26458378.17948718	1.5235760618070499e-05	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	1
HI1.lex-smallest.trans!inclusive.gain	3526	3597	82310.96738513897	795420.7374539268	0.09375281477164456	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	320
embryonic-lethal.lex-smallest.intron!inclusive.gain	5242	5265	4237.685043876383	586203.2170513065	0.0071757945171840145	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	165
CGD-dom.all.trans!inclusive.gain	850	3781	92350.48235294118	3545451.8237367803	0.025357264195459393	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	99
Essential.lex-smallest.intron!inclusive.gain	35139	35333	5780.118073934944	82315.59029595902	0.06561005620698052	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	1100
phen.all.intron!inclusive.gain	91936	413834	6616.905858423251	27054.8914474042	0.1965100932809985	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	3418
Curated-loss.lex-smallest.cds!inclusive.gain	754	760	117732.0901856764	3982658.829139073	0.02867546717106065	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	119
Paralogs.lex-smallest.cds!inclusive.gain	373	414	21482.581769436998	8255787.189839573	0.0025884489672401306	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	145
Decipher-loss.all.exon!inclusive.gain	680	3343	385.8411764705882	4545396.5345080765	8.475430901906908e-05	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	60
HI2.lex-smallest.intron!inclusive.gain	38815	39057	6497.184258662888	73255.59575948062	0.08146462742610858	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	1077
HI2.lex-smallest.exon!inclusive.gain	42410	42674	338.52459325630747	72653.80641814624	0.004637701571987954	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	1037
Curated-loss.all.cds!inclusive.gain	808	3592	125007.38118811882	3701695.238566131	0.03262806505886667	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	132
HI1.all.exon!inclusive.gain	52712	236191	340.8444946122325	58386.1820992924	0.005803768483871988	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	1369
No-phen.lex-smallest.trans!inclusive.gain	9655	10272	49936.72232004143	270664.70153272577	0.15574589656242904	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	986
Paralogs.lex-smallest.trans!inclusive.gain	375	419	26868.210666666666	8206387.853723404	0.003254725108289158	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	147
Curated-loss.all.intron!inclusive.gain	10467	54371	11027.32569026464	284701.4132594574	0.03728522150033377	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	682
GI2.all.cds!inclusive.gain	4203	15538	54080.53033547466	682297.0844433872	0.0734251146837518	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	255
HI2.all.trans!inclusive.gain	3715	14351	79982.79596231494	753105.8463401507	0.09598418938878764	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	315
phen.lex-smallest.exon!inclusive.gain	96102	97772	327.55397390272833	31884.52826654735	0.010168563390351087	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	3151
GI3.lex-smallest.intron!inclusive.gain	66577	67784	5476.682382804873	41020.402069752774	0.1177839401439545	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	2390
HPO-dom.lex-smallest.intron!inclusive.gain	11265	11324	6161.899067909454	268619.17441860464	0.022422812122130768	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	503
HPO-rec.lex-smallest.trans!inclusive.gain	1196	1207	67439.57859531773	2518813.4302422726	0.02605495510848144	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	110
CGD-dom.lex-smallest.cds!inclusive.gain	800	801	70855.4425	3793998.8239700375	0.01831080776707234	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	75
Curated-loss.all.exon!inclusive.gain	12666	58314	353.80775303963367	244035.37404278835	0.0014476085210392716	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	748
Curated-gain.all.cds!inclusive.gain	249	1066	106361.24096385542	12276773.852	0.008555138496452614	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	45
ISCA-loss.lex-smallest.trans!inclusive.gain	284	288	132844.74295774646	10729647.385964911	0.0121872863282694	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	38
HI3.lex-smallest.trans!inclusive.gain	8806	9203	48199.469679763795	303307.9234699671	0.13710877249505868	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	813
Non-cod.all.cds!inclusive.gain	104	254	47297.78846153846	29435794.685714286	0.0015889801634150374	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	17
Paralogs.all.intron!inclusive.gain	2400	11967	4296.504166666667	1285033.6534777177	0.0033309704557808106	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	896
Curated-gain.all.exon!inclusive.gain	3709	16095	360.9312483149097	834053.5628032346	0.0004324397609423782	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	269
Cancer-loss.lex-smallest.intron!inclusive.gain	6395	6409	6049.503831118061	477953.5389305816	0.012496966528242382	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	287
CGD-rec.lex-smallest.intron!inclusive.gain	17149	17303	5033.765350749315	175472.49970845482	0.027885348022819115	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	544
Cancer-gain.lex-smallest.trans!inclusive.gain	16	16	35170.6875	182065569.47058824	0.00018177959945653408	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	0
No-phen.lex-smallest.intron!inclusive.gain	80985	82872	5606.878236710502	32618.037413874004	0.14667969997127078	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	4161
Decipher-loss.lex-smallest.exon!inclusive.gain	559	562	369.48121645796067	5527626.557142857	6.671883808027734e-05	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	51
ISCA-gain.all.intron!inclusive.gain	535	3155	7468.968224299066	5768062.526119403	0.001290799223624015	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	19
GI1.all.cds!inclusive.gain	3514	14783	99718.92743312464	781014.253485064	0.11319406526069907	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	362
Cancer-loss.all.intron!inclusive.gain	6864	34786	6648.12601981352	444289.1005098325	0.014740792055112233	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	346
No-phen.all.intron!inclusive.gain	82911	341329	6157.475606373099	31179.502991123118	0.16491461869412638	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	4422
Decipher-loss.all.cds!inclusive.gain	44	227	84342.34090909091	68710363.31111111	0.0011987886675835589	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	7
ISCA-loss.lex-smallest.cds!inclusive.gain	283	285	113348.6890459364	10787323.003521128	0.010362087107543879	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	33
HI1.all.cds!inclusive.gain	3727	15106	74179.66380466863	756225.8060622318	0.08930762809080445	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	304
ISCA-loss.all.cds!inclusive.gain	312	1422	113616.33333333333	9777089.827476038	0.011450901138015604	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	39
Curated-loss.lex-smallest.exon!inclusive.gain	10575	10638	346.04312056737587	292361.7630484115	0.0011821018513798556	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	603
embryonic-lethal.lex-smallest.trans!inclusive.gain	367	369	65301.02452316076	8347043.304347826	0.007741593457735899	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	35
All-genes.all.trans!inclusive.gain	19082	73833	57516.38989623729	104708.36136875753	0.35453556877262893	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	2035
Decipher-gain.lex-smallest.exon!inclusive.gain	97	97	430.78350515463916	31588118.63265306	1.3498176469557805e-05	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	0
Cancer-gain.all.intron!inclusive.gain	136	1346	10175.573529411764	22586084.18978102	0.00044703559700231453	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	0
HPO-rec.lex-smallest.intron!inclusive.gain	15151	15254	5022.760741865223	199285.74208025343	0.024582615651426925	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	487
Non-cod.all.exon!inclusive.gain	10005	15292	382.5215392303848	308999.6286228263	0.0012362812692190163	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	1494
No-phen.lex-smallest.exon!inclusive.gain	90978	93160	359.0592231088835	33667.230042097624	0.010552291357417445	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	4405
GI1.lex-smallest.exon!inclusive.gain	58952	59584	289.4930960781653	52221.451240818955	0.005512911950659024	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	1376
phen.lex-smallest.intron!inclusive.gain	88232	89708	6029.132933629522	29056.191617648725	0.17184040395743921	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	3194
ISCA-gain.all.exon!inclusive.gain	640	3382	442.3890625	4829008.241809673	9.14594650277469e-05	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	23
CGD-rec.lex-smallest.cds!inclusive.gain	1382	1392	58345.84298118669	2180074.8062183657	0.02604727310650416	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	114
HI3.all.trans!inclusive.gain	9020	32430	52653.68070953437	290515.5982707017	0.15341915089697983	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	870
CGD-rec.lex-smallest.trans!inclusive.gain	1379	1394	66431.66932559825	2176860.9710144927	0.029592641547497262	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	121
HPO-dom.all.cds!inclusive.gain	978	4020	72042.09611451943	3090112.606741573	0.022759855315312164	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	106
Non-cod.all.trans!inclusive.gain	3307	4531	14061.695796794678	921757.9758162032	0.015021600060697797	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	382
Paralogs.all.exon!inclusive.gain	3134	13342	334.6981493299298	987122.3183413078	0.0003388415071718719	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	1139
HPO-rec.all.trans!inclusive.gain	1283	4702	70469.41777084957	2340549.1814641743	0.02920597044431321	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	126
Cancer-gain.lex-smallest.intron!inclusive.gain	133	133	3659.1503759398497	23098438.39552239	0.00015720856382305768	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	0
GI2.lex-smallest.cds!inclusive.gain	4031	4071	49082.96502108658	718706.3442460317	0.06391280668749473	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	227
Decipher-loss.lex-smallest.intron!inclusive.gain	519	521	7100.42774566474	5946139.019230769	0.0011904089184858516	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	53
Prot-cod.all.trans!inclusive.gain	16904	69134	66710.7088854709	116415.23744454303	0.36427497859715624	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	1762
GI3.lex-smallest.trans!inclusive.gain	8541	8942	45658.271748038875	316753.7008897214	0.12597155552718164	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	664
Decipher-loss.lex-smallest.cds!inclusive.gain	38	39	92122.05263157895	79286583.94871795	0.0011308148537797322	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	6
GI3.all.cds!inclusive.gain	8949	27811	40745.77248854621	305144.52446927375	0.1177880862477928	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	644
HPO-rec.lex-smallest.exon!inclusive.gain	16353	16463	281.9089463706965	189009.86639354288	0.001489191665168244	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	474
