label	method	t	mem
CGD-rec.all.cds!inclusive.gain	direct_eigen	6.43	138236.0
Prot-cod.lex-smallest.exon!inclusive.gain	direct_eigen	43268.97	206712.0
OMIM.lex-smallest.exon!inclusive.gain	direct_eigen	2141.86	153136.0
All-genes.lex-smallest.trans!inclusive.gain	direct_eigen	460.0	144908.0
Decipher-gain.all.exon!inclusive.gain	direct_eigen	1.48	138012.0
HI1.lex-smallest.trans!inclusive.gain	direct_eigen	19.89	138316.0
embryonic-lethal.lex-smallest.intron!inclusive.gain	direct_eigen	45.5	138852.0
CGD-dom.all.trans!inclusive.gain	direct_eigen	2.64	138784.0
Essential.lex-smallest.intron!inclusive.gain	direct_eigen	1617.04	150752.0
phen.all.intron!inclusive.gain	direct_eigen	10531.26	250012.0
Curated-loss.lex-smallest.cds!inclusive.gain	direct_eigen	3.24	137708.0
Paralogs.lex-smallest.cds!inclusive.gain	direct_eigen	2.05	137356.0
Decipher-loss.all.exon!inclusive.gain	direct_eigen	2.69	138608.0
HI2.lex-smallest.intron!inclusive.gain	direct_eigen	1912.64	151796.0
HI2.lex-smallest.exon!inclusive.gain	direct_eigen	2269.91	153376.0
Curated-loss.all.cds!inclusive.gain	direct_eigen	2.66	138136.0
HI1.all.exon!inclusive.gain	direct_eigen	3562.11	202468.0
No-phen.lex-smallest.trans!inclusive.gain	direct_eigen	125.57	141504.0
Paralogs.lex-smallest.trans!inclusive.gain	direct_eigen	1.52	137288.0
Curated-loss.all.intron!inclusive.gain	direct_eigen	170.54	152600.0
GI2.all.cds!inclusive.gain	direct_eigen	26.73	141660.0
HI2.all.trans!inclusive.gain	direct_eigen	21.34	141236.0
phen.lex-smallest.exon!inclusive.gain	direct_eigen	11702.24	173200.0
GI3.lex-smallest.intron!inclusive.gain	direct_eigen	5634.86	161520.0
HPO-dom.lex-smallest.intron!inclusive.gain	direct_eigen	213.79	141420.0
HPO-rec.lex-smallest.trans!inclusive.gain	direct_eigen	3.75	138004.0
CGD-dom.lex-smallest.cds!inclusive.gain	direct_eigen	2.59	137672.0
Curated-loss.all.exon!inclusive.gain	direct_eigen	249.36	153600.0
Curated-gain.all.cds!inclusive.gain	direct_eigen	1.55	137940.0
ISCA-loss.lex-smallest.trans!inclusive.gain	direct_eigen	1.71	138008.0
HI3.lex-smallest.trans!inclusive.gain	direct_eigen	107.13	140968.0
Non-cod.all.cds!inclusive.gain	direct_eigen	1.2	137356.0
Paralogs.all.intron!inclusive.gain	direct_eigen	12.4	139784.0
Curated-gain.all.exon!inclusive.gain	direct_eigen	23.59	142056.0
Cancer-loss.lex-smallest.intron!inclusive.gain	direct_eigen	60.03	139428.0
CGD-rec.lex-smallest.intron!inclusive.gain	direct_eigen	398.53	143792.0
Cancer-gain.lex-smallest.trans!inclusive.gain	direct_eigen	1.13	138136.0
No-phen.lex-smallest.intron!inclusive.gain	direct_eigen	8243.84	167576.0
Decipher-loss.lex-smallest.exon!inclusive.gain	direct_eigen	2.48	138052.0
ISCA-gain.all.intron!inclusive.gain	direct_eigen	2.26	138392.0
GI1.all.cds!inclusive.gain	direct_eigen	19.1	141552.0
Cancer-loss.all.intron!inclusive.gain	direct_eigen	70.2	147180.0
No-phen.all.intron!inclusive.gain	direct_eigen	8847.07	229168.0
Decipher-loss.all.cds!inclusive.gain	direct_eigen	1.11	138096.0
ISCA-loss.lex-smallest.cds!inclusive.gain	direct_eigen	1.49	136876.0
HI1.all.cds!inclusive.gain	direct_eigen	21.36	140988.0
ISCA-loss.all.cds!inclusive.gain	direct_eigen	1.76	137584.0
Curated-loss.lex-smallest.exon!inclusive.gain	direct_eigen	175.96	141736.0
embryonic-lethal.lex-smallest.trans!inclusive.gain	direct_eigen	1.53	137252.0
All-genes.all.trans!inclusive.gain	direct_eigen	463.54	157148.0
Decipher-gain.lex-smallest.exon!inclusive.gain	direct_eigen	1.29	137996.0
Cancer-gain.all.intron!inclusive.gain	direct_eigen	1.21	137564.0
HPO-rec.lex-smallest.intron!inclusive.gain	direct_eigen	308.29	143020.0
Non-cod.all.exon!inclusive.gain	direct_eigen	124.98	142024.0
No-phen.lex-smallest.exon!inclusive.gain	direct_eigen	9744.46	171144.0
